Date,Open,High,Low,Close,Adj Close,Volume,Date.1,Date
0,133.8800048828125,133.97999572753906,133.50010681152344,133.77499389648438,133.77499389648438,32435,2023-05-23 09:30:00-04:00,
1,133.8800048828125,133.97999572753906,133.50010681152344,133.77499389648438,133.77499389648438,32435,,2023-05-23 09:30:00-04:00
2,133.7100067138672,133.7899932861328,133.58999633789062,133.58999633789062,133.58999633789062,2524,,2023-05-23 09:31:00-04:00
3,133.7100067138672,133.97999572753906,133.67999267578125,133.89999389648438,133.89999389648438,2647,,2023-05-23 09:32:00-04:00
4,133.5,133.81019592285156,133.5,133.5800018310547,133.5800018310547,779,,2023-05-23 09:33:00-04:00
5,133.5800018310547,133.5800018310547,133.39999389648438,133.4600067138672,133.4600067138672,2093,,2023-05-23 09:34:00-04:00
6,133.39999389648438,133.39999389648438,133.1925048828125,133.2100067138672,133.2100067138672,3970,,2023-05-23 09:35:00-04:00
7,133.3300018310547,133.48500061035156,133.1999969482422,133.38999938964844,133.38999938964844,5833,,2023-05-23 09:36:00-04:00
8,133.25999450683594,133.3699951171875,133.0800018310547,133.3699951171875,133.3699951171875,3011,,2023-05-23 09:37:00-04:00
9,133.3000030517578,133.5500030517578,133.3000030517578,133.3300018310547,133.3300018310547,2680,,2023-05-23 09:38:00-04:00
10,133.4499969482422,133.5142059326172,133.27499389648438,133.27499389648438,133.27499389648438,3830,,2023-05-23 09:39:00-04:00
11,133.25,133.25,133.08999633789062,133.11000061035156,133.11000061035156,3498,,2023-05-23 09:40:00-04:00
12,133.11000061035156,133.22999572753906,133.0399932861328,133.17999267578125,133.17999267578125,3169,,2023-05-23 09:41:00-04:00
13,133.13999938964844,133.13999938964844,132.91000366210938,132.97000122070312,132.97000122070312,4679,,2023-05-23 09:42:00-04:00
14,132.99000549316406,133.22000122070312,132.99000549316406,133.11000061035156,133.11000061035156,4005,,2023-05-23 09:43:00-04:00
15,133.13999938964844,133.41000366210938,133.10000610351562,133.41000366210938,133.41000366210938,9270,,2023-05-23 09:44:00-04:00
16,133.41000366210938,133.5,133.35000610351562,133.5,133.5,3865,,2023-05-23 09:45:00-04:00
17,133.52000427246094,133.5399932861328,133.38999938964844,133.5399932861328,133.5399932861328,12099,,2023-05-23 09:46:00-04:00
18,133.5,133.58999633789062,133.25010681152344,133.39999389648438,133.39999389648438,13263,,2023-05-23 09:47:00-04:00
19,133.44000244140625,133.49000549316406,133.3800048828125,133.49000549316406,133.49000549316406,5061,,2023-05-23 09:48:00-04:00
20,133.55999755859375,133.86000061035156,133.47999572753906,133.85000610351562,133.85000610351562,3845,,2023-05-23 09:49:00-04:00
21,133.85000610351562,134.0,133.81500244140625,133.9600067138672,133.9600067138672,2307,,2023-05-23 09:50:00-04:00
22,134.02999877929688,134.19000244140625,134.02999877929688,134.10000610351562,134.10000610351562,3324,,2023-05-23 09:51:00-04:00
23,133.99000549316406,134.12950134277344,133.99000549316406,134.0,134.0,2995,,2023-05-23 09:52:00-04:00
24,133.97079467773438,134.05999755859375,133.9600067138672,134.05999755859375,134.05999755859375,2175,,2023-05-23 09:53:00-04:00
25,134.1699981689453,134.1699981689453,134.05999755859375,134.14999389648438,134.14999389648438,1179,,2023-05-23 09:54:00-04:00
26,133.9716033935547,134.1199951171875,133.9716033935547,134.1199951171875,134.1199951171875,3186,,2023-05-23 09:55:00-04:00
27,134.07000732421875,134.25,134.07000732421875,134.25,134.25,2119,,2023-05-23 09:56:00-04:00
28,134.25,134.2899932861328,134.13999938964844,134.14999389648438,134.14999389648438,5282,,2023-05-23 09:57:00-04:00
29,134.14999389648438,134.33990478515625,134.1199951171875,134.1999969482422,134.1999969482422,1643,,2023-05-23 09:58:00-04:00
30,134.25999450683594,134.4499969482422,134.2100067138672,134.4499969482422,134.4499969482422,4065,,2023-05-23 09:59:00-04:00
31,134.4250030517578,134.5,134.35000610351562,134.35000610351562,134.35000610351562,2961,,2023-05-23 10:00:00-04:00
32,134.3800048828125,134.58990478515625,134.37399291992188,134.58990478515625,134.58990478515625,3503,,2023-05-23 10:01:00-04:00
33,134.5800018310547,134.5800018310547,134.4499969482422,134.4499969482422,134.4499969482422,3453,,2023-05-23 10:02:00-04:00
34,134.5399932861328,134.57000732421875,134.50999450683594,134.50999450683594,134.50999450683594,1967,,2023-05-23 10:03:00-04:00
35,134.50999450683594,134.50999450683594,134.50999450683594,134.50999450683594,134.50999450683594,508,,2023-05-23 10:04:00-04:00
36,134.50999450683594,134.52000427246094,134.1999969482422,134.1999969482422,134.1999969482422,9331,,2023-05-23 10:05:00-04:00
37,134.1999969482422,134.3000030517578,134.1999969482422,134.25160217285156,134.25160217285156,2861,,2023-05-23 10:06:00-04:00
38,134.33999633789062,134.33999633789062,134.2899932861328,134.2899932861328,134.2899932861328,1645,,2023-05-23 10:07:00-04:00
39,134.4199981689453,134.4600067138672,134.30999755859375,134.34530639648438,134.34530639648438,4205,,2023-05-23 10:08:00-04:00
40,134.22000122070312,134.35499572753906,134.22000122070312,134.35000610351562,134.35000610351562,2219,,2023-05-23 10:09:00-04:00
41,134.331298828125,134.41000366210938,134.27000427246094,134.41000366210938,134.41000366210938,1945,,2023-05-23 10:10:00-04:00
42,134.44000244140625,134.44000244140625,134.22000122070312,134.22000122070312,134.22000122070312,2509,,2023-05-23 10:11:00-04:00
43,134.1699981689453,134.19239807128906,134.14500427246094,134.16000366210938,134.16000366210938,1384,,2023-05-23 10:12:00-04:00
44,134.1531982421875,134.1531982421875,134.02999877929688,134.0500030517578,134.0500030517578,6568,,2023-05-23 10:13:00-04:00
45,134.08999633789062,134.20989990234375,134.08999633789062,134.13499450683594,134.13499450683594,2403,,2023-05-23 10:14:00-04:00
46,134.13999938964844,134.13999938964844,133.89999389648438,133.89999389648438,133.89999389648438,8940,,2023-05-23 10:15:00-04:00
47,133.83999633789062,133.92999267578125,133.73500061035156,133.8699951171875,133.8699951171875,2126,,2023-05-23 10:16:00-04:00
48,133.80999755859375,134.02999877929688,133.75999450683594,134.02999877929688,134.02999877929688,3412,,2023-05-23 10:17:00-04:00
49,134.08999633789062,134.1199951171875,133.86000061035156,133.86000061035156,133.86000061035156,7491,,2023-05-23 10:18:00-04:00
50,133.8699951171875,134.0500030517578,133.8699951171875,134.0500030517578,134.0500030517578,3382,,2023-05-23 10:19:00-04:00
51,133.9199981689453,133.9199981689453,133.80999755859375,133.80999755859375,133.80999755859375,617,,2023-05-23 10:20:00-04:00
52,133.7899932861328,133.85690307617188,133.7899932861328,133.80999755859375,133.80999755859375,5246,,2023-05-23 10:21:00-04:00
53,133.75,133.75,133.6199951171875,133.6199951171875,133.6199951171875,475,,2023-05-23 10:22:00-04:00
54,133.67999267578125,133.7899932861328,133.67999267578125,133.7899932861328,133.7899932861328,3959,,2023-05-23 10:23:00-04:00
55,133.75999450683594,133.8300018310547,133.75,133.8300018310547,133.8300018310547,3140,,2023-05-23 10:24:00-04:00
56,133.86000061035156,133.97999572753906,133.86000061035156,133.97999572753906,133.97999572753906,1601,,2023-05-23 10:25:00-04:00
57,133.9801025390625,134.08999633789062,133.9801025390625,134.08990478515625,134.08990478515625,1695,,2023-05-23 10:26:00-04:00
58,134.08999633789062,134.19500732421875,134.0,134.0,134.0,3091,,2023-05-23 10:27:00-04:00
59,134.0,134.0,133.8699951171875,133.99000549316406,133.99000549316406,1696,,2023-05-23 10:28:00-04:00
60,133.99000549316406,133.99000549316406,133.92999267578125,133.92999267578125,133.92999267578125,907,,2023-05-23 10:29:00-04:00
61,134.0500030517578,134.11000061035156,134.0500030517578,134.07000732421875,134.07000732421875,1109,,2023-05-23 10:30:00-04:00
62,134.07000732421875,134.11000061035156,134.0,134.0,134.0,3213,,2023-05-23 10:31:00-04:00
63,134.10000610351562,134.13499450683594,134.10000610351562,134.1300048828125,134.1300048828125,695,,2023-05-23 10:32:00-04:00
64,134.1750030517578,134.1750030517578,134.1300048828125,134.15480041503906,134.15480041503906,1419,,2023-05-23 10:33:00-04:00
